小区,区域,商圈,在售,在租,建成时间,均价(元/平米),均价环比上月(%)
欣园新村,徐汇,康健,33,8,1994,"
61442","
2.02%"
康惠苑,徐汇,康健,32,5,2001,"
69790","
5.6%"
龙州小区,徐汇,植物园,32,8,1996,"
59911","
1.62%"
乐山八九村,徐汇,徐家汇,32,34,1991,"
62267","
1.11%"
陕西南路488弄小区,徐汇,建国西路,32,3,1997,"
96615","
1.44%"
吴兴公寓,徐汇,衡山路,32,6,2001,"
70000","
0.30%"
阳光绿园,徐汇,长桥,32,8,2002,"
75315","
4.48%"
振兴小区,徐汇,斜土路,32,38,2000,"
62861","
3.91%"
江南二村,徐汇,徐家汇,31,7,1994,"
59780","
2.49%"
建国西路619弄小区,徐汇,衡山路,31,19,2000,"
123686","
7.56%"
美晶佳园,徐汇,徐家汇,31,7,2002,"
68480","
7.65%"
青松小区,徐汇,斜土路,31,38,1995,"
72191","
5.47%"
上影小区,徐汇,徐家汇,31,24,1988,"
69921","
5.51%"
兴荣苑,徐汇,植物园,31,5,1999,"
65168","
4.79%"
亦园大厦,徐汇,衡山路,31,37,2002,"
76256","
2.74%"
芝大厦,徐汇,衡山路,31,47,1999,"
92240","
0.5%"
中海瀛台二期,徐汇,徐汇滨江,31,6,2009,"
79889","
5.21%"
